ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"103.214.156.14","elite","AS135339","BD","Fuad Muhammad Shorfuddin","205","N/A","5678","socks4","383","1","2023-05-01T04:07:13.477Z","94","1469","1555"
"103.76.15.202","elite","AS131111","ID","PT. Mora Telematika Indonesia","213","N/A","5678","socks4","373","1","2023-05-01T04:07:13.478Z","98","1525","1559"
"47.243.207.3","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","253","Alibaba.com LLC","33967","socks5","37","1","2023-05-01T04:07:13.701Z","16","240","1526"
"116.199.170.1","elite","AS45661","IN","Capture Network Systems Pvt. Ltd.","120","CAPTURE","4145","socks4","227","1","2023-05-01T04:07:12.606Z","99","1539","1559"
"14.115.107.29","elite","AS4134","CN","Chinanet","214","Chinanet GD","3629","socks4","44","1","2023-05-01T04:07:12.611Z","69","993","1449"
"110.77.236.235","elite","AS131090","TH","CAT Telecom Public Company Limited","202","CAT BBviaOnnet","4153","socks4","287","1","2023-05-01T04:07:12.525Z","78","1212","1559"
"67.206.232.113","anonymous","AS11992","PR","AT&T Mobility Puerto Rico","142","AT&T Mobility Puerto Rico","999","http","38","308","2023-05-01T04:07:12.924Z","100","1435","1440"
"171.247.168.5","elite","AS7552","VN","Viettel Corporation","163","VIETEL","1080","socks4","68","1","2023-05-01T04:07:12.607Z","67","970","1450"
"37.75.112.35","elite","AS8926","MD","JSC \"Moldtelecom\" S.A.","48","JSC Moldtelecom S.A.","4153","socks4","153","1","2023-05-01T04:07:12.473Z","97","1511","1559"
"45.7.177.249","elite","AS266626","BR","Litoral Telecom","175","Litoral Telecom","39867","socks4","133","1","2023-05-01T04:07:12.512Z","99","1543","1555"
"104.16.72.45","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks4","100","1","2023-05-01T04:07:12.439Z","100","1442","1442"
"114.129.100.181","elite","AS17839","KR","CJ Hello Co.","282","HVEunpyeong","8080","socks4","61","1","2023-05-01T04:07:12.527Z","99","1442","1451"
"139.162.100.214","elite","AS63949","JP","Akamai Technologies, Inc.","239","Linode, LLC","16678","socks4","59","1","2023-05-01T04:07:12.696Z","99","1438","1452"
"103.214.112.86","elite","AS136052","ID","PT Cloud Hosting Indonesia","209","PT Denbe Anugerah Solusindo","32323","socks5","280","1","2023-05-01T04:07:12.865Z","99","1426","1442"
"187.95.82.53","elite","AS262696","BR","Turbonet Telecomunicações","192","Turbonet Telecomunicações","3629","socks4","53","1","2023-05-01T04:07:12.694Z","100","1552","1557"
"192.12.112.65","elite","AS266144","BR","Rosana Ferreira da Silva Multimidia ME","197","Rosana Ferreira da Silva Multimidia ME","4145","socks4","114","1","2023-05-01T04:07:12.644Z","99","1522","1537"
"38.83.108.89","elite","AS63199","US","Cogent Communications","112","CDS Global Cloud Co., Ltd","5678","socks4","148","1","2023-05-01T04:07:11.682Z","100","1554","1557"
"202.21.113.86","elite","AS9484","MN","Mobinet LLC","128","N/A","4153","socks4","112","1","2023-05-01T04:07:11.775Z","90","1392","1555"
"122.52.187.137","elite","AS9299","PH","Philippine Long Distance Telephone Co.","215","Philippine Long Distance Telephone Company","5678","socks4","124","1","2023-05-01T04:07:11.774Z","98","1522","1559"
"124.156.157.218","elite","AS132203","HK","Tencent Cloud Computing (Beijing) Co","246","N/A","35286","socks4","377","1","2023-05-01T04:07:11.813Z","100","1544","1548"
"72.195.34.42","elite","AS22773","US","Cox Communications Inc.","151","Cox Communications","4145","socks5","74","1","2023-05-01T04:07:11.861Z","85","1228","1443"
"123.131.44.66","elite","AS4837","CN","CNC Group CHINA169 Shandong Province Network","185","N/A","8088","socks4","52","1","2023-05-01T04:07:11.828Z","98","1449","1474"
"192.241.205.63","elite","AS14061","US","DigitalOcean, LLC","156","Digital Ocean","60092","socks5","153","1","2023-05-01T04:07:11.742Z","100","1438","1439"
"138.36.86.237","elite","AS264193","BR","Master Telecom","250","Master Telecom","5678","socks4","52","1","2023-05-01T04:07:11.811Z","98","1529","1557"
"61.7.138.171","elite","AS131090","TH","CAT Telecom Public Company Limited","200","National Telecom Public Company Limited","4145","socks4","279","1","2023-05-01T04:07:11.015Z","82","1281","1559"
"103.54.148.46","elite","AS134128","BD","Mega Speed","154","N/A","1080","socks4","196","1","2023-05-01T04:07:11.659Z","99","1545","1558"
"50.235.149.74","anonymous","AS7922","US","Comcast Cable Communications, LLC","91","Comcast Cable Communications, LLC","8080","http","219","290","2023-05-01T04:07:11.102Z","100","1462","1465"
"103.59.190.2","elite","AS58678","IN","Flash Broadband Pvt Ltd","164","Flash Broadband Pvt Ltd","56252","socks4","63","1","2023-05-01T04:07:11.786Z","99","1549","1560"
"45.196.148.117","elite","AS7018","US","AT&T Services","81","AQUA Networks Limited","5432","socks4","46","1","2023-05-01T04:07:11.777Z","98","1423","1457"
"46.21.77.122","elite","AS34518","RU","fatum","63","N/A","4153","socks4","221","1","2023-05-01T04:07:11.658Z","99","1539","1559"
"193.41.88.58","elite","AS13032","UA","Kyiv National Taras Shevchenko University","52","Kunet","53281","http","42","109","2023-05-01T04:07:11.999Z","92","1329","1443"
"93.171.224.43","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","54","PE TV and Radio Company Kentavr-TV","4153","socks4","114","1","2023-05-01T04:07:11.659Z","99","1540","1559"
"170.254.255.251","elite","AS52584","BR","Connect Fibra","207","Connect Fibra","45816","socks4","208","1","2023-05-01T04:07:11.017Z","98","1507","1545"
"177.93.78.54","elite","AS263163","BR","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","284","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","4153","socks4","217","1","2023-05-01T04:07:11.101Z","96","1477","1534"
"116.1.7.245","elite","AS4134","CN","Chinanet","229","Chinanet GX","3829","socks4","379","1","2023-05-01T04:07:11.814Z","92","1320","1442"
"183.88.18.60","elite","AS45629","TH","Triple T Broadband Public Company Limited","180","Triple T Broadband Public Company Limited","8080","socks4","139","1","2023-05-01T04:07:11.683Z","91","1418","1555"
"213.6.227.38","elite","AS12975","PS","Palestine Telecommunications Company","59","Paltel DSL","34081","socks4","362","1","2023-05-01T04:07:11.613Z","96","1383","1444"
"104.16.106.234","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc","80","socks4","323","1","2023-05-01T04:07:11.465Z","100","1559","1559"
"190.205.32.70","elite","AS8048","VE","CANTV Servicios, Venezuela","152","CANTV Servicios, Venezuela","999","socks4","285","1","2023-05-01T04:07:11.100Z","99","1540","1558"
"92.42.8.5","elite","AS44963","RU","KMVtelecom","87","JSC PP Potok","4145","socks4","130","1","2023-05-01T04:07:10.886Z","100","1545","1552"
"105.213.160.87","elite","AS16637","ZA","MTN SA","175","MTN SA","5678","socks4","257","1","2023-05-01T04:07:10.736Z","98","1438","1471"
"2.57.131.19","elite","AS209202","ES","Centre Integral de Telecomunicacions i Tecnologies de Catalunya S.L","41","Centre Integral de Telecomunicacions i Tecnologies de Catalunya S.L","4145","socks4","84","1","2023-05-01T04:07:10.647Z","100","1556","1558"
"80.80.164.164","elite","AS21246","XK","Ipko Telecommunications - IP's to","41","N/A","10801","socks4","49","1","2023-05-01T04:07:10.934Z","99","1545","1559"
"103.23.102.129","elite","AS58400","ID","Universitas Negeri Semarang, y","172","UNNES","4145","socks4","135","1","2023-05-01T04:07:10.147Z","100","1556","1557"
"184.185.2.12","elite","AS22773","US","Cox Communications Inc.","166","Cox Communications Inc.","4145","socks5","272","1","2023-05-01T04:07:10.844Z","89","1303","1465"
"79.143.190.221","elite","AS51167","DE","Contabo GmbH","23","Contabo GmbH","12580","socks5","331","1","2023-05-01T04:07:10.624Z","100","1482","1482"
"36.95.235.18","elite","AS7713","ID","PT. Telekomunikasi Indonesia","167","Telekomunikasi Indonesia","3629","socks4","273","1","2023-05-01T04:07:10.473Z","99","1444","1459"
"36.90.50.9","elite","AS7713","ID","PT. Telekomunikasi Indonesia","173","Telekomunikasi Indonesia","5678","socks4","146","1","2023-05-01T04:07:10.737Z","78","1131","1451"
"176.100.77.118","elite","AS49718","RU","Nizhnevolzhskie Telecommunication Networks Real Ltd.","83","REAL","3629","socks4","136","1","2023-05-01T04:07:10.586Z","98","1416","1449"
"186.97.144.98","elite","AS27831","CO","Colombia Móvil","143","Colombia Móvil","5678","socks4","286","1","2023-05-01T04:07:10.783Z","100","1483","1490"
"51.38.93.100","anonymous","AS16276","GB","OVH SAS","8","Regxa LTD","3128","https","92","886","2023-05-01T04:07:10.580Z","100","1558","1558"
"103.47.93.234","elite","AS134058","IN","Broban Internet Services Pvt.ltd","173","Broban  PVT Ltd.","1080","socks4","213","1","2023-05-01T04:07:10.885Z","100","1513","1519"
"213.226.11.149","elite","AS8717","BG","Mobiltel EAD","45","N/A","59086","socks4","75","1","2023-05-01T04:07:10.634Z","100","1557","1558"
"112.2.21.18","elite","AS56046","CN","China Mobile Communications Corporation","266","China Mobile Communications Corporation","51080","socks4","164","1","2023-05-01T04:07:10.300Z","97","1392","1437"
"177.72.113.237","elite","AS262558","BR","Prompt Brasil Solucoes EM TI Ltda","197","Prompt Brasil Solucoes EM TI Ltda","31164","socks4","284","1","2023-05-01T04:07:10.472Z","99","1513","1535"
"187.85.157.26","elite","AS53062","BR","Ggnet Telecom Backbone","213","Ggnet Telecom Backbone","5678","socks4","184","1","2023-05-01T04:07:09.866Z","100","1489","1492"
"189.124.138.137","elite","AS28220","BR","Cabo Servicos De Telecomunicacoes Ltda","187","Update Ltda","5678","socks4","428","1","2023-05-01T04:07:09.825Z","99","1449","1461"
"185.162.228.128","elite","AS209242","GB","Cloudflare London, LLC","1","Softconstruct Limited","80","socks4","153","1","2023-05-01T04:07:09.074Z","100","1533","1535"
"154.113.160.1","elite","AS37282","NG","Mainone Cable Company","129","Mainone Cable Company","5678","socks4","41","1","2023-05-01T04:07:09.870Z","100","1446","1451"
"83.168.84.89","elite","AS31304","PL","ESPOL-FH","40","N/A","4153","socks4","378","1","2023-05-01T04:07:09.631Z","99","1531","1539"
"167.250.26.18","elite","AS265279","BR","Soft System Informatica Ltda","229","Soft System Informatica Ltda","4145","socks4","341","1","2023-05-01T04:07:09.887Z","97","1516","1559"
"190.2.153.31","elite","AS49981","NL","WorldStream B.V.","17","WorldStream B.V","9050","socks5","204","1","2023-05-01T04:07:09.864Z","100","1557","1558"
"14.142.20.134","elite","AS4755","IN","Tata Communications Limited","141","Tata Communications Limited","4145","socks4","302","1","2023-05-01T04:07:09.846Z","100","1557","1559"
"186.251.255.13","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","218","Seanet Telecom Carazinho Eireli","31337","socks4","197","1","2023-05-01T04:07:09.227Z","99","1465","1474"
"81.162.199.93","elite","AS34955","CZ","Martin Vicenik","34","VicenikRoute","4153","socks4","144","1","2023-05-01T04:07:09.867Z","99","1542","1553"
"114.222.99.99","elite","AS4134","CN","Chinanet","207","Chinanet JS","1080","socks4","223","1","2023-05-01T04:07:09.054Z","75","1082","1451"
"80.211.66.104","elite","AS31034","IT","Aruba S.p.A. Network","38","Aruba S.p.A. - Cloud Services","80","http","55","160","2023-05-01T04:07:09.480Z","100","1440","1443"
"178.128.151.87","elite","AS14061","US","DigitalOcean, LLC","92","Digitalocean","40081","socks5","119","1","2023-05-01T04:07:09.229Z","100","1530","1537"
"212.108.205.6","elite","AS12301","HU","Invitech ICT Services Kft.","26","Invitech ICT Services Kft","5678","socks4","138","1","2023-05-01T04:07:09.086Z","100","1448","1448"
"5.9.141.52","elite","AS24940","DE","Hetzner Online GmbH","22","Hetzner","30000","socks4","282","1","2023-05-01T04:07:09.479Z","100","1479","1479"
"38.127.172.95","elite","AS174","US","Cogent Communications","77","Torlandia Trading SRL","46656","socks5","187","1","2023-05-01T04:07:09.746Z","100","1489","1490"
"103.129.92.44","elite","AS63859","ID","PT. Eka Mas Republik","209","Myrepublic","5678","socks4","233","1","2023-05-01T04:07:09.067Z","90","1403","1558"
"159.69.106.105","elite","AS24940","DE","Hetzner Online GmbH","14","Hetzner","16787","socks5","232","1","2023-05-01T04:07:09.069Z","100","1479","1479"
"45.7.176.78","elite","AS266626","BR","Litoral Telecom","179","Litoral Telecom","52246","socks4","210","1","2023-05-01T04:07:09.482Z","98","1531","1557"
"104.20.205.191","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks4","269","1","2023-05-01T04:07:09.806Z","100","1547","1548"
"187.73.55.66","elite","AS262668","BR","Mar Provedor de Internet Ltda","213","Mar Provedor de Internet Ltda","5678","socks4","161","1","2023-05-01T04:07:09.960Z","61","880","1444"
"203.205.29.108","elite","AS45903","VN","CMC Telecom Infrastructure Company","184","CMC Telecom Infrastructure Company","5678","socks4","372","1","2023-05-01T04:07:08.142Z","99","1539","1557"
"103.140.83.97","elite","AS132290","BD","The Net","156","The","4145","socks4","375","1","2023-05-01T04:07:08.031Z","99","1484","1496"
"103.85.103.1","elite","AS135788","IN","Vedant Broadband","194","N/A","5678","socks4","358","1","2023-05-01T04:07:08.963Z","99","1541","1553"
"91.210.98.61","elite","AS50712","RU","Kavkaz Internet Service Ltd.","65","Kavkaz Internet Service Ltd.","4145","socks4","243","1","2023-05-01T04:07:08.973Z","100","1477","1483"
"213.6.67.86","elite","AS12975","PS","Palestine Telecommunications Company","66","Palestine Telecommunications Company","54260","socks4","242","1","2023-05-01T04:07:08.853Z","100","1495","1495"
"79.127.127.7","elite","AS43754","IR","Asiatech Data Transmission company","88","Asiatech Data Transmission company","1369","socks4","265","1","2023-05-01T04:07:08.587Z","82","1271","1559"
"103.66.233.161","elite","AS134014","IN","NET 4 U SERVICES","193","N/A","4145","socks4","334","1","2023-05-01T04:07:08.843Z","100","1549","1556"
"180.210.222.233","elite","AS134128","BD","Mega Speed","153","N/A","1080","socks4","401","1","2023-05-01T04:07:08.103Z","99","1547","1557"
"185.162.95.125","elite","AS41722","RU","MIRAN-VS","52","N/A","10001","socks4","345","1","2023-05-01T04:07:08.463Z","100","1482","1485"
"196.44.181.37","elite","AS31856","ZW","YoAHRE-MAIN","203","N/A","5678","socks4","237","1","2023-05-01T04:07:08.583Z","95","1465","1539"
"190.114.253.210","elite","AS52368","CL","ZAM LTDA.","211","ZAM LTDA.","3389","socks4","318","1","2023-05-01T04:07:08.707Z","99","1502","1523"
"103.89.235.241","elite","AS136308","IN","Deenet Services Pvt Ltd","152","Deenet Services Pvt Ltd","84","socks4","125","1","2023-05-01T04:07:08.396Z","99","1450","1458"
"157.245.140.55","elite","AS14061","US","DigitalOcean, LLC","92","DigitalOcean, LLC","35965","socks5","301","1","2023-05-01T04:07:08.845Z","100","1511","1512"
"213.210.67.186","elite","AS15759","RU","TOMSKTELECOM","95","OJSC Rostelecom","3629","socks4","420","1","2023-05-01T04:07:08.083Z","96","1499","1559"
"75.119.203.42","elite","AS26347","US","New Dream Network, LLC","150","New Dream Network, LLC","15745","socks4","336","1","2023-05-01T04:07:08.463Z","100","1538","1538"
"50.47.75.216","elite","AS20055","US","Wholesail networks LLC","147","Ziply Fiber","5678","socks4","397","1","2023-05-01T04:07:08.030Z","94","1434","1518"
"91.192.168.166","anonymous","AS42498","RU","Gerkon Ltd. net 1","74","Gerkon LTD","8080","http","75","514","2023-05-01T04:07:08.586Z","100","1441","1444"
"189.220.227.6","elite","AS28509","MX","Cablemas Telecomunicaciones SA de CV","141","Cablemas Telecomunicaciones SA de CV","5678","socks4","202","1","2023-05-01T04:07:08.970Z","90","1403","1559"
"212.83.143.147","elite","AS12876","FR","Online S.A.S.","1","ONLINE","50119","socks5","425","1","2023-05-01T04:07:08.102Z","100","1531","1536"
"183.89.180.128","elite","AS45629","TH","Triple T Broadband Public Company Limited","163","Triple T Broadband Public Company Limited","8080","socks4","310","1","2023-05-01T04:07:08.845Z","85","1218","1438"
"201.48.125.221","elite","AS16735","BR","ALGAR TELECOM S/A","223","ALGAR TELECOM S/A","4153","socks4","122","1","2023-05-01T04:07:08.965Z","99","1548","1557"
"70.32.25.147","elite","AS55293","US","A2 Hosting, Inc.","89","A2 Hosting, Inc.","36546","socks4","299","1","2023-05-01T04:07:08.588Z","100","1460","1462"
"1.179.151.165","elite","AS131293","TH","TOT Public Company Limited","183","TOT Public Company Limited","31948","socks4","204","1","2023-05-01T04:07:08.964Z","99","1545","1558"
"103.105.40.254","elite","AS137143","IN","Minnal Digital Network Private Limited","159","Minnal Digital Network Private Limited","4145","socks4","361","1","2023-05-01T04:07:08.143Z","100","1522","1526"
"47.114.81.218","elite","AS37963","CN","Addresses CNNIC","210","Aliyun Computing Co., LTD","8060","socks4","326","1","2023-05-01T04:07:08.464Z","98","1446","1472"
"110.145.200.50","anonymous","AS1221","AU","Telstra Corporation Limited","337","Telstra Corporation","10000","https","307","244","2023-05-01T04:07:08.778Z","100","1557","1558"
"218.1.142.122","elite","AS4812","CN","China Telecom","211","N/A","57114","socks4","368","1","2023-05-01T04:07:08.852Z","25","367","1460"
"140.250.93.245","elite","AS4134","CN","Chinanet","206","Chinanet SD","1080","socks4","301","1","2023-05-01T04:07:08.106Z","90","1338","1494"
"106.245.183.60","elite","AS3786","KR","LG DACOM Corporation","276","Boranet","4145","socks4","97","1","2023-05-01T04:07:08.965Z","98","1517","1547"
"91.92.80.199","elite","AS39251","BG","NETGUARD Ltd.","43","Flashnet","4145","socks4","417","1","2023-05-01T04:07:08.777Z","98","1527","1559"
"202.21.102.68","elite","AS9484","MN","Mobinet LLC","187","N/A","5678","socks4","308","1","2023-05-01T04:07:07.157Z","98","1522","1559"
"66.207.184.57","elite","AS7029","US","Windstream Communications LLC","83","Voce Telecom, LLC","5432","socks4","451","1","2023-05-01T04:07:07.962Z","95","1416","1497"
"139.59.35.1","elite","AS14061","IN","DigitalOcean","156","DigitalOcean, LLC","42675","socks4","86","1","2023-05-01T04:07:07.161Z","100","1550","1554"
"180.183.39.207","elite","AS45629","TH","Triple T Broadband Public Company Limited","193","Triple T Broadband Public Company Limited","4153","socks4","208","1","2023-05-01T04:07:07.420Z","98","1437","1461"
"45.8.107.115","elite","AS209242","DE","Cloudflare London","1","Araxio Development N.V","80","socks5","474","1","2023-05-01T04:07:07.848Z","100","1469","1469"
"178.134.79.250","elite","AS35805","GE","JSC \"Silknet\"","91","Silknet - 6","5678","socks4","96","1","2023-05-01T04:07:07.156Z","100","1543","1544"
"62.171.166.158","elite","AS51167","DE","Contabo GmbH","18","Contabo GmbH","64734","socks5","196","1","2023-05-01T04:07:07.883Z","98","1461","1486"
"69.11.145.106","anonymous","AS4181","US","TDS TELECOM","246","Quail RUN RV Park","8080","http","82","542","2023-05-01T04:07:07.415Z","88","1266","1441"
"103.113.3.234","elite","AS137342","ID","Diskominfo Tangerang Selatan","192","N/A","4145","socks4","207","1","2023-05-01T04:07:07.048Z","97","1509","1559"
"191.241.145.23","elite","AS262784","BR","SATURNO COMUNICAÔÔES LTDA","237","SATURNO COMUNICAÇÕES LTDA","4153","socks5","359","1","2023-05-01T04:07:07.735Z","99","1430","1449"
"193.151.136.177","elite","AS60077","IR","Asre Dadeha Asiatech","94","N/A","1080","socks5","320","1","2023-05-01T04:07:07.162Z","52","755","1454"
"200.24.255.93","elite","AS52381","AR","Sociedad Cooperativa Popular Limitada de Comodoro","280","Sociedad Cooperativa Popular Limitada de Comodoro","49271","socks4","370","1","2023-05-01T04:07:07.734Z","49","749","1536"
"36.67.14.193","elite","AS7713","ID","PT. Telekomunikasi Indonesia","188","N/A","5678","socks4","108","1","2023-05-01T04:07:07.162Z","99","1526","1537"
"142.93.52.63","elite","AS14061","US","DigitalOcean, LLC","82","DigitalOcean, LLC","8080","socks4","280","1","2023-05-01T04:07:07.422Z","98","1449","1483"
"185.16.12.137","elite","AS35567","BA","DASTO Semtel doo","41","N/A","5678","socks4","220","1","2023-05-01T04:07:07.922Z","99","1540","1559"
"201.157.254.26","anonymous","AS52871","BR","TASCOM TELECOMUNICAÔÔES LTDA","178","TASCOM TELECOMUNICAÇÕES LTDA","8080","http","229","435","2023-05-01T04:07:07.299Z","100","1434","1441"
"177.38.244.1","elite","AS52974","BR","Henet Telecomunicacoes Ltda","214","Lourivaldo Freitas Santos","5678","socks4","344","1","2023-05-01T04:07:07.161Z","100","1450","1454"
"98.206.244.30","elite","AS7922","US","Comcast Cable Communications, LLC","108","Comcast Cable Communications, Inc.","18301","socks4","368","1","2023-05-01T04:07:07.822Z","100","1555","1556"
"50.237.98.130","elite","AS7922","US","Comcast Cable Communications, LLC","92","Comcast Cable Communications, LLC","1080","socks4","179","1","2023-05-01T04:07:06.855Z","97","1506","1546"
"172.64.130.68","elite","AS13335","US","Cloudflare, Inc.","1","Cloudflare, Inc.","80","socks4","365","1","2023-05-01T04:07:06.539Z","100","1539","1540"
"45.8.107.142","elite","AS209242","DE","Cloudflare London","1","Araxio Development N.V","80","socks4","363","1","2023-05-01T04:07:06.707Z","100","1502","1502"
"177.91.76.34","elite","AS263432","BR","Corporativa Telecomunicacoes Eireli ME","220","Corporativa Telecomunicacoes Eireli ME","4153","socks4","220","1","2023-05-01T04:07:06.853Z","93","1456","1559"
"97.75.254.30","elite","AS14488","US","ZCORUM","127","Williamstown Cable","5678","socks4","57","1","2023-05-01T04:07:06.325Z","100","1558","1559"
"187.157.30.202","elite","AS8151","MX","Uninet S.A. de C.V.","154","Uninet S.A. de C.V.","4153","socks4","74","1","2023-05-01T04:07:06.326Z","98","1517","1545"
"45.12.30.231","elite","AS209242","GB","Cloudflare London, LLC","1","LIR Services","80","socks5","410","1","2023-05-01T04:07:06.328Z","100","1554","1555"
"8.39.228.193","elite","AS3356","US","Level 3 Communications, Inc.","125","Level 3, LLC","39593","socks4","46","1","2023-05-01T04:07:06.511Z","100","1538","1538"
"103.214.112.238","elite","AS136052","ID","PT Cloud Hosting Indonesia","209","PT Denbe Anugerah Solusindo","32323","socks5","81","1","2023-05-01T04:07:06.330Z","99","1417","1436"
"103.110.184.1","elite","AS137374","ID","Dinas Komunikasi","197","N/A","6037","socks4","377","1","2023-05-01T04:07:06.106Z","99","1548","1557"
"103.83.178.205","elite","AS136065","ID","PT SOLUSI TRIMEGAH PERSADA","205","PT SOLUSI TRIMEGAH PERSADA","2016","socks4","165","1","2023-05-01T04:07:06.971Z","99","1534","1556"
"177.38.5.36","elite","AS52964","BR","FÔBIO MENDES DIAS LTDA ME","230","FÁBIO MENDES DIAS LTDA ME","4153","socks4","348","1","2023-05-01T04:07:06.792Z","97","1498","1542"
"125.212.251.235","elite","AS38731","VN","Viettel Corporation","197","Viettel Group","57335","socks5","97","1","2023-05-01T04:07:06.881Z","100","1498","1504"
"213.6.68.210","elite","AS12975","PS","Palestine Telecommunications Company","61","Palestine Telecommunications Company","4145","socks4","336","1","2023-05-01T04:07:06.859Z","93","1406","1504"
"103.233.154.19","elite","AS17451","ID","BIZNET","196","N/A","4145","socks4","110","1","2023-05-01T04:07:06.324Z","100","1548","1555"
"170.79.90.248","elite","AS262186","CO","TV AZTECA SUCURSAL COLOMBIA","158","TV AZTECA SUCURSAL COLOMBIA","8080","socks4","381","1","2023-05-01T04:07:06.329Z","99","1524","1544"
"103.79.96.214","elite","AS64308","ID","PT IndoDev Niaga Internet","179","PT IndoDev Niaga Internet","4153","socks4","68","1","2023-05-01T04:07:06.325Z","100","1557","1559"
"46.227.37.129","elite","AS51155","PL","Telemedian - TB Telecom","38","Telemedian","1088","socks4","113","1","2023-05-01T04:07:06.182Z","100","1453","1460"
"112.195.36.157","elite","AS4837","CN","China Unicom CHINA169 Sichuan Province Network","263","N/A","24388","socks4","157","1","2023-05-01T04:07:06.972Z","77","1151","1494"
"175.178.106.77","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","212","Golden-Bridge Netcom communication Co., LTD.","21093","socks4","99","1","2023-05-01T04:07:06.181Z","88","1366","1558"
"104.248.154.128","elite","AS14061","SG","DigitalOcean, LLC","149","DigitalOcean, LLC","3128","socks4","339","1","2023-05-01T04:07:06.709Z","85","1239","1456"
"27.73.115.113","elite","AS7552","VN","Newass2011xDSLHN","189","N/A","5000","socks4","115","1","2023-05-01T04:07:06.881Z","94","1385","1471"
"51.83.190.248","elite","AS16276","PL","OVH SAS","26","OVH Sp. z o. o","19050","socks4","204","1","2023-05-01T04:07:06.854Z","100","1559","1559"
"50.47.75.215","elite","AS20055","US","Wholesail networks LLC","148","Ziply Fiber","5678","socks4","450","1","2023-05-01T04:07:05.059Z","94","1445","1533"
"200.108.196.108","elite","AS20255","UY","Tecnowind S.A.","234","Tecnowind S.A","4145","socks4","416","1","2023-05-01T04:07:05.292Z","98","1527","1555"
"185.171.52.130","elite","AS44285","IR","Sefroyek Pardaz Engineering Co. LTD","95","Shahrad","5678","socks4","480","1","2023-05-01T04:07:05.058Z","96","1493","1558"
"117.241.135.30","elite","AS9829","IN","BSNL Internet","178","N/A","5678","socks4","170","1","2023-05-01T04:07:05.407Z","98","1435","1462"
"103.115.255.106","elite","AS137868","BD","Star Internet Service","224","Md. Murad Hossain Ripon","36331","socks4","285","1","2023-05-01T04:07:05.626Z","98","1421","1456"
"80.191.40.41","elite","AS58224","IR","Telecommunication Company of Iran","86","Telecommunication Company","5678","socks4","495","1","2023-05-01T04:07:05.057Z","99","1536","1549"
"191.7.189.184","elite","AS263329","BR","FIBERCOM Telecomunicações","218","FIBERCOM Telecomunicações","5678","socks4","43","1","2023-05-01T04:07:05.985Z","93","1352","1460"
"111.164.88.250","elite","AS4837","CN","China Unicom Tianjin Province Network","277","N/A","1080","socks4","105","1","2023-05-01T04:07:05.753Z","86","1292","1506"
"192.95.42.140","elite","AS16276","CA","OVH Hosting","84","N/A","1080","socks5","97","1","2023-05-01T04:07:05.753Z","92","1439","1560"
"89.22.17.62","elite","AS48166","RU","Fortex Cjsc","50","Fortex AS48166","43110","socks4","106","1","2023-05-01T04:07:05.628Z","100","1558","1559"
"45.7.177.250","elite","AS266626","BR","Litoral Telecom","175","Litoral Telecom","39867","socks4","64","1","2023-05-01T04:07:05.754Z","99","1537","1555"
"82.130.202.219","elite","AS12338","ES","Euskaltel S.A.","27","Euskaltel S.A.","43429","socks4","84","1","2023-05-01T04:07:05.983Z","100","1557","1557"
"165.227.0.166","anonymous","AS14061","US","DigitalOcean, LLC","157","DigitalOcean, LLC","3128","http","54","380","2023-05-01T04:07:05.759Z","100","1438","1439"
"103.212.94.253","elite","AS138312","IN","Best Telnet Services Private Limited","127","Best telnet services private limited","41363","socks4","406","1","2023-05-01T04:07:05.490Z","100","1553","1558"
"183.88.78.114","elite","AS45629","TH","Triple T Broadband Public Company Limited","149","Triple T Broadband Public Company Limited","8080","socks5","586","1","2023-05-01T04:07:05.027Z","95","1385","1464"
"103.47.93.197","elite","AS134058","IN","Broban Internet Services Pvt.ltd","152","Broban  PVT Ltd.","1080","socks4","509","1","2023-05-01T04:07:05.056Z","100","1521","1526"
"24.51.32.59","anonymous","AS13807","US","Great Plains Communications LLC","115","Great Plains Communications LLC","8080","http","208","263","2023-05-01T04:07:05.981Z","100","1436","1438"
"121.132.108.65","elite","AS4766","KR","Korea Telecom","229","N/A","5156","socks4","191","1","2023-05-01T04:07:05.628Z","100","1497","1501"
"51.38.39.204","elite","AS16276","FR","OVH SAS","5","OVH","63028","socks5","73","1","2023-05-01T04:07:05.104Z","100","1557","1558"
"75.119.206.48","elite","AS26347","US","New Dream Network, LLC","153","New Dream Network, LLC","15745","socks4","433","1","2023-05-01T04:07:05.291Z","100","1536","1537"
"162.243.102.207","elite","AS14061","US","DigitalOcean, LLC","81","Digital Ocean","3128","socks4","388","1","2023-05-01T04:07:05.993Z","100","1452","1454"
